Date,Calls,Gym,Movies,Dates,Books,Meals,Nickname,Flowers,Photos 
2/27/2025,,Yes,,,,,,,
2/28/2025,,Yes,,Valhalla,,,,,
3/1/2025,,Yes,,,,,,,
3/2/2025,,No,,,,House of pies,,,
3/3/2025,,Yes,Carry-on,,,,,,
3/4/2025,,Yes,,,,,,,
3/5/2025,,Yes,,,,,,,
3/6/2025,,Yes,,,,,,,
3/7/2025,,Yes,,,,,,,
3/8/2025,,Yes,,Houston Zoo,,Fogo de Chao,,,
3/9/2025,,No,,,,,,"Multi color - white, yellow, pink",
3/10/2025,,Yes,,,,,,,
3/11/2025,,Yes,,,,,,,
3/12/2025,,Yes,,,,,,,
3/13/2025,,Yes,,,,,,,
3/14/2025,,Yes,Rebel ridge,,,,,,
3/15/2025,,Yes,,,,Honey Pig,,,2
3/16/2025,,No,Finished The Middle,,,,,,
3/17/2025,,Yes,,,,,,,
3/18/2025,,Yes,,,,,,,
3/19/2025,3,Yes,,,,,,,
3/20/2025,1,No,,,,,,,
3/21/2025,10,No,,,,,,,
3/22/2025,2,No,,,,,,,
3/23/2025,4,No,,,,,,,
3/24/2025,1,No,,,,Jimmy Johns,,,
3/25/2025,,Yes,,,,,,,
3/26/2025,1,Yes,Just go with it!,,,,,,
3/27/2025,,Yes,Moana,,,,,,
3/28/2025,,Yes,,,,,,,
3/29/2025,,Yes,,,,Hopdoddy,,,
3/30/2025,,No,Moana 2,,,Mendocino Farms,,,
3/31/2025,,Yes,,,,,,,
4/1/2025,,Yes,,,,,,,
4/2/2025,,Yes,,,,,,,
4/3/2025,,Yes,,,,Common Bond,,,
4/4/2025,,Yes,,,,,,,
4/5/2025,,Yes,,,,,,,
4/6/2025,,No,Finished s1 handmaid's tale ,,,,,,
4/7/2025,,Yes,,,,,,,
4/8/2025,,Yes,,,,,,,
4/9/2025,,Yes,,,,,,,
4/10/2025,,Yes,Finished s2 handmaid's tale,,,,,,
4/11/2025,2,Yes,,,,,,,
4/12/2025,1,No,,,,,,,
4/13/2025,4,No,,,,,,,
4/14/2025,3,No,,,,Mendocino Farms,,,
4/15/2025,4,No,,,,,,,
4/16/2025,,No,,,,,,,
4/17/2025,,Yes,,,,,,,
4/18/2025,,Yes,,,,Hopdoddy,,,
4/19/2025,,Yes,,,,Hopdoddy,,,
4/20/2025,,No,Finished s3 of handmaid's tale,,,,,,
4/21/2025,,Yes,,,,,,,
4/22/2025,,Yes,,,,Mendocino Farms,,,
4/23/2025,,Yes,,,,,,,
4/24/2025,,Yes,,,,,,,
4/25/2025,,Yes,,,,Burger Joint,,,
4/26/2025,,Yes,,Rock climbing,,Mendocino Farms,,,
4/27/2025,,No,,,,,,,
4/28/2025,,Yes,Finished s4 of handmaid's tale,,,,,,
4/29/2025,,Yes,,,,,,,
4/30/2025,,Yes,,,,,,,
5/1/2025,,Yes,,Move-in!,,,,,
5/2/2025,,Yes,,,,,,,
5/3/2025,,Yes,,,,,,Red roses and white little flowers,
5/4/2025,,No,,Legos mini bouquet,,,,,
5/5/2025,,Yes,,,,,,,
5/6/2025,,Yes,,,,,,,
5/7/2025,,Yes,,,,,,,
5/8/2025,,Yes,,,,,,,
5/9/2025,,Yes,,,,,,,
5/10/2025,,No,,,,,,,
5/11/2025,,No,,,,,,,
5/12/2025,,No,,,,,,Fire - yellow and orange,
5/13/2025,,No,,,,,,,
5/14/2025,,Yes,Finished s5 of handmaid's tale,,,,,,
5/15/2025,,Yes,,,,,,,
5/16/2025,,Yes,,,,,,,
5/17/2025,,Yes,,,,,,,
5/18/2025,,No,,,,Hopdoddy,,,
5/19/2025,,Yes,,,,,,,
5/20/2025,,Yes,,,,,,,
5/21/2025,,Yes,,,,,,,
5/22/2025,,Yes,,,,,,,
5/23/2025,,Yes,,,,kasra,,,
5/24/2025,,Yes,Motocross,,,,,,
5/25/2025,,Yes,The Wild Robot,,,,,,
5/26/2025,,No,,Galveston,,Miller’s Seawall Grill Galveston and Hopdoddy Rice Village and Baskin Robins Rice Village,,,
5/27/2025,,Yes,Finished s6 handmaid's tale,,,,,,
5/28/2025,1,Yes,,Valhalla raul’s birthday,,,,,
5/29/2025,,Yes,,,,Mendocino Farms,,,
5/30/2025,4,No,,,,,,,
5/31/2025,3,No,,,,,,,
6/1/2025,7,No,,,,,,,
6/2/2025,4,No,,,,,,,
6/3/2025,5,No,,,,,,,
6/4/2025,7,No,,,,,,,
6/5/2025,6,No,,,,,,,
6/6/2025,5,No,,,,,,,
6/7/2025,9,No,,,,,,,
6/8/2025,6,No,,,,,,,
6/9/2025,4,No,,,,,,,
6/10/2025,11,No,,,,,,,
6/11/2025,4,No,,,,,,,
6/12/2025,3,No,,,,,,,
6/13/2025,2,No,,,,,,,
6/14/2025,,Yes,,Baseball game 3-2 W triple date,,,,Sunflower??,
6/15/2025,,Yes,,,,Burger Joint,,,
6/16/2025,,Yes,,,,Baskin Robins,,,
6/17/2025,,Yes,,,,,,,
6/18/2025,,Yes,,,,Baskin Robins,,,
6/19/2025,,No,,,,Fogo de Chao,,,
6/20/2025,,No,Ballads of songbirds and snakes,Natural Science Museum,,Taqueria del Sol,,,
6/21/2025,,No,,,,Kasra Rice Village,,"Roses: red, orange, pink",
6/22/2025,,Yes,,,,Baskin Robins,,,
6/23/2025,,Yes,,,,,,,
6/24/2025,,Yes,,,,,,,
6/25/2025,,Yes,,,,,,,
6/26/2025,,Yes,,,,,,,
6/27/2025,,Yes,,,,,,,
6/28/2025,,Yes,The Old Guard,Bowling,,,,,
6/29/2025,,No,,,,,,,
6/30/2025,,Yes,,,,,,,
7/1/2025,,Yes,,,,,,,
7/2/2025,,Yes,The Old Guard 2,,,,,,
7/3/2025,,No,,,,Baskin Robins,,,
7/4/2025,,No,,Fireworks,,Velvet Taco,,,
7/5/2025,,No,,,,,,,
7/6/2025,,No,Gold cup 2-1 mex,,,,,,
7/7/2025,,Yes,,,,Pit Room,,Hot pink assortment,
7/8/2025,,Yes,,,,,,,
7/9/2025,,Yes,,,,,Qt patootie,,
7/10/2025,,Yes,,,,Burger Joint,Qt patootie,,
7/11/2025,,Yes,,,,Baskin Robins,Qt patootie,,
7/12/2025,,Yes,,,,Sushi masa westheimer,Qt patootie,,
7/13/2025,,No,,,,,Qt patootie,,
7/14/2025,,No,The Accountant,,,,Qt patootie,,
7/15/2025,,Yes,,,,,Qt patootie,,
7/16/2025,,Yes,,,,Burger Joint,Qt patootie,,
7/17/2025,,Yes,The Accountant 2,,,,Qt patootie,,
7/18/2025,,Yes,,,,,Qt patootie,,
7/19/2025,,Yes,,,,,Qt patootie,,
7/20/2025,,No,,,,Candente,Pookie,Yellow and orange- fire roses,
7/21/2025,,Yes,,,,,Mort,,
7/22/2025,,Yes,,,,,,,
7/23/2025,,Yes,Sara: woman in the shadows,,,,,,
7/24/2025,,Yes,,,,,,,
7/25/2025,,Yes,,,,Common Bond Holcombe,,,
7/26/2025,,Yes,,,,Kasra Rice Village,,,
7/27/2025,,No,,Cidercade,,Kirby Ice House,,,
7/28/2025,,Yes,,,,,,,
7/29/2025,,Yes,,,,,,,
7/30/2025,,Yes,,,,,,,
7/31/2025,,Yes,,,,,,,
8/1/2025,,Yes,,Moving our friends livelihood,,,,,
8/2/2025,,Yes,,"Billiards, 6 games",,,Mort,,
8/3/2025,,No,,,,Masa sushi w matt and jiwoo,Mort,,
8/4/2025,,Yes,,,,,Mort,,
8/5/2025,,Yes,,,,Jimmy Johns,Qt patootie,,
8/6/2025,,Yes,,,,,Qt patootie,,
8/7/2025,,Yes,,,,,Pookie,,
8/8/2025,,Yes,,,,,Goldfish,,
8/9/2025,,Yes,Sara: woman in the shadows,,,Truth bbq,Qt patootie,,
8/10/2025,,No,,MFAH,,,Qt patootie,Yellow roses,
8/11/2025,,Yes,,,,,Qt patootie,,
8/12/2025,,Yes,,,,,Qt patootie,,
8/13/2025,,Yes,,,,,Pookie,,
8/14/2025,,Yes,,,,,Qt patootie,,
8/15/2025,,Yes,,,,,Qt patootie,,
8/16/2025,,No,,"Botanical garden, austin. Barton springs",,"Salt traders, upper crust, subway",Qt patootie,,
8/17/2025,,No,,,,,Qt patootie,,
8/18/2025,,Yes,,,,,Qt patootie,,
8/19/2025,,Yes,,,,,Qt patootie,,
8/20/2025,,Yes,,,,,Qt patootie,,
8/21/2025,,Yes,,,,,Qt patootie,,
8/22/2025,,Yes,,,,,Qt patootie,,
8/23/2025,,Yes,"Anchorman, our planet",,,Candente,Mort,,
8/24/2025,,No,Theory of everything,Lego hibiscus,,,Qt patootie,Violet roses,
8/25/2025,,Yes,,,,,Qt patootie,,
8/26/2025,,Yes,,,,,Qt patootie,,
8/27/2025,,Yes,,,,Jimmy Johns,Mort,,
8/28/2025,,Yes,,,,,Qt patootie,,
8/29/2025,,Yes,,,,,Qt patootie,,
8/30/2025,,Yes,,"Dicks sporting, nordstrom rack",,,Qt patootie,,
8/31/2025,,Yes,,,,,Qt patootie,,
9/1/2025,,No,,"Dicks, nasa",,Kasra,Qt patootie,,
9/2/2025,,Yes,,,,,,,
9/3/2025,,Yes,,,,,,,
9/4/2025,,No,,,,,,,
9/5/2025,,No,"Above the rim, gilmore girls",,,,,,
9/6/2025,,Yes,Thunderbolts,,,,,,
9/7/2025,,No,,,,,,,
9/8/2025,,Yes,,,,,,,
9/9/2025,,Yes,,,,,,,
9/10/2025,,Yes,,,,,,,
9/11/2025,,Yes,Sara: woman in the shadows,,,,,,
9/12/2025,,Yes,Sara: woman in the shadows,,,,,,
9/13/2025,,Yes,,Nordstrom rack,,,,,
9/14/2025,,No,Sara: woman in the shadows,,,,,,
9/15/2025,,Yes,,,,,,,
9/16/2025,,Yes,,,,,,,
9/17/2025,,Yes,,,,,,,
9/18/2025,,No,,,,,,,
9/19/2025,,No,,,,,,,
9/20/2025,,No,,,,,,,
9/21/2025,,No,,,,,,,
9/22/2025,,No,,,,,,,
9/23/2025,,No,,,,,,Tulips,
9/24/2025,,Yes,,,,,,,
9/25/2025,,Yes,,,,,Qt patootie,,
9/26/2025,,Yes,,,,,Qt patootie,,
9/27/2025,,Yes,,Valhalla,,,Qt patootie,,
9/28/2025,,No,,,,Sushi weistheimer,Qt patootie,,
9/29/2025,,Yes,,,,,,,
9/30/2025,,Yes,,,,,,,
10/1/2025,,Yes,,,,,,,
10/2/2025,,Yes,,,,,,,
10/3/2025,,Yes,,,,,Qt patootie,,
10/4/2025,,Yes,Only murders in the building,Hopdoddy,,,Qt patootie,,
10/5/2025,,No,Only murders in the building,,,,Qt patootie,,
10/6/2025,,Yes,Only murders in the building,,,,Mort,,
10/7/2025,,Yes,Only murders in the building,,,,Qt patootie,,
10/8/2025,,Yes,,,,,Mort,,
10/9/2025,,Yes,,,,,Qt patootie,,
10/10/2025,,Yes,,Dicks sporting goods,,,Qt patootie,,
10/11/2025,,Yes,Wednesday,,,,Qt patootie,,
10/12/2025,,No,Wednesday,,,Jimmy Johns,Qt patootie,,
10/13/2025,,No,Wednesday,,,,,,
10/14/2025,,No,,,,,,,
10/15/2025,,Yes,,,,,,,
10/16/2025,,Yes,,,,,,,
10/17/2025,,Yes,,,,,Qt patootie,,
10/18/2025,,Yes,Swiped,,,,Qt patootie,,
10/19/2025,,No,,,,Burger joint,Qt patootie,,
10/20/2025,,Yes,,,,,Qt patootie,,
10/21/2025,,Yes,,,,,Qt patootie,,
10/22/2025,,Yes,,,,,Qt patootie,,
10/23/2025,,Yes,,,,,Qt patootie,,
10/24/2025,,Yes,,,,,,,
10/25/2025,,No,,,,,,,
10/26/2025,,No,,Legos bamboo,,Taqueria del sol,,,
10/27/2025,,Yes,,,,,,,
10/28/2025,,Yes,,,,,,,
10/29/2025,,Yes,,,,,,,
10/30/2025,,No,A house of dynamite,,,,,,
10/31/2025,,Yes,Luckiest girl alive,,,,,,
11/1/2025,,Yes,,,,,,,
11/2/2025,,No,,,,,,,
11/3/2025,,Yes,,,,,,,
11/4/2025,,Yes,,,,,,,
11/5/2025,,Yes,,,,,,,
11/6/2025,,Yes,,,,,,,
11/7/2025,,Yes,,Valhalla,,,,,
11/8/2025,,Yes,,Soccer on field 6,,,,,
11/9/2025,,No,Frankestein,rock climbing,,Pinkerton's,,,
11/10/2025,,Yes,Frankestein,,,,,,
11/11/2025,,Yes,,,,,,,
11/12/2025,,Yes,,,,,,,
11/13/2025,,Yes,,"Stubbs dijon, bookpeople",,"Mozarts coffee, Hoboken pie",,,
11/14/2025,,Yes,,Mt bonnel,,Upper crust,,,
11/15/2025,,Yes,,,,Black walnut,,,
11/16/2025,,No,,,,,,,
11/17/2025,,Yes,,,,,,,
11/18/2025,,Yes,,,,,,,
11/19/2025,,Yes,,,,,,,
11/20/2025,,Yes,,,,,,,
11/21/2025,,Yes,,,,,,,
11/22/2025,,Yes,,,,,,,
11/23/2025,,No,,,,Gao’s crab,,,
11/24/2025,,Yes,,,,,,,
11/25/2025,,Yes,Avatar,,,,,,
11/26/2025,,Yes,,,,,,,
11/27/2025,,No,,,,,,,
11/28/2025,,No,,,,,,,
11/29/2025,,No,,,,,,,
11/30/2025,,No,,,,,,,
12/1/2025,,No,,,,,,,
12/2/2025,,No,,,,,,,
12/3/2025,,Yes,,,,,,,
12/4/2025,,Yes,,,,,,,
12/5/2025,,Yes,,Valhalla,,,,,
12/6/2025,,Yes,Avatar 2,,,,,,
12/7/2025,,No,,,,,,,
12/8/2025,,Yes,,,,,,,
12/9/2025,,Yes,Zootopia,,,,,,
12/10/2025,,Yes,,,,,,,
12/11/2025,,Yes,,,,,,,
12/12/2025,,Yes,,,,,,,
12/13/2025,,Yes,Zootopia 2,River oaks neighborhood,,Sushi masa westheimer,,,
12/14/2025,,No,,,,,,,
12/15/2025,,Yes,,,,,,,
12/16/2025,,Yes,,,,,,,
12/17/2025,,Yes,,,,,,,
12/18/2025,,Yes,,,,,,,
12/19/2025,,Yes,,,,,,,
12/20/2025,,Yes,Avatar 3,,,,,,
12/21/2025,,Yes,Kemah (84 harbor lane),"Target (south main), (montrose), (westheimer)",,,,,
12/22/2025,,Yes,,,,,,,
12/23/2025,,Yes,,,,,,,
12/24/2025,,No,,,,,,,
12/25/2025,,No,,,,,,,
12/26/2025,,No,,,,,,,
12/27/2025,,No,,,,,,,
12/28/2025,,No,,,,,,,
12/29/2025,,No,,,,,,,
12/30/2025,,No,,,,,,,
12/31/2025,,No,,,,,,,
